participant,ExpeDuration,framerate,Trial_number,experiment,intention,condition,explicability,MapConfiguration,Strategie,TargetAIchoice,TargetUserchoice,ConflictLevel,Obstacle,delayIB,IBestimUser,IB,IB_zscore,SoARatings,SoARatings_zscore,Correlation,Score_trial
5630b79b733ea00011164946,57.7502716666667,60.0,6,0,,0,,2,2,,2.0,,0,1250,451,-799,-2.74582554592169,7,0.473381068331151,0.836476836089748,17.5
5630b79b733ea00011164946,57.7502716666667,60.0,7,0,,0,,6,2,,3.0,,0,250,361,111,1.33447975598838,7,0.473381068331151,0.836476836089748,21.5
5630b79b733ea00011164946,57.7502716666667,60.0,8,0,,0,,3,1,,2.0,,0,1250,1221,-29,0.706740478771447,7,0.473381068331151,0.836476836089748,24.0
5630b79b733ea00011164946,57.7502716666667,60.0,10,0,,0,,6,1,,2.0,,0,750,781,31,0.975771597578704,7,0.473381068331151,0.836476836089748,30.5
5630b79b733ea00011164946,57.7502716666667,61.0,11,0,,0,,4,2,,2.0,,0,750,531,-219,-0.145191397451536,7,0.473381068331151,0.836476836089748,34.5
5630b79b733ea00011164946,57.7502716666667,60.0,13,0,,0,,2,1,,4.0,,0,750,451,-299,-0.503899555861213,7,0.473381068331151,0.836476836089748,41.0
5630b79b733ea00011164946,57.7502716666667,60.0,9,0,,0,,2,2,,2.0,,0,1250,1211,-39,0.661901958970237,7,0.473381068331151,0.836476836089748,28.0
5630b79b733ea00011164946,57.7502716666667,60.0,15,0,,0,,2,1,,4.0,,0,250,291,41,1.02061011737991,7,0.473381068331151,0.836476836089748,47.5
5630b79b733ea00011164946,57.7502716666667,60.0,16,0,,0,,4,2,,4.0,,0,750,411,-339,-0.683253635066051,7,0.473381068331151,0.836476836089748,51.5
5630b79b733ea00011164946,57.7502716666667,60.0,17,0,,0,,2,1,,4.0,,0,250,231,-19,0.751578998572656,7,0.473381068331151,0.836476836089748,54.0
5630b79b733ea00011164946,57.7502716666667,60.0,14,0,,0,,5,2,,2.0,,0,1250,661,-589,-1.80421663009629,7,0.473381068331151,0.836476836089748,45.0
5630b79b733ea00011164946,57.7502716666667,60.0,22,0,,0,,5,1,,4.0,,0,250,281,31,0.975771597578704,6,-2.01186954040739,0.836476836089748,65.0
5630b79b733ea00011164946,57.7502716666667,60.0,24,0,,0,,1,1,,2.0,,0,750,601,-149,0.168678241156931,7,0.473381068331151,0.836476836089748,71.5
5630b79b733ea00011164946,57.7502716666667,60.0,25,0,,0,,6,2,,4.0,,0,750,531,-219,-0.145191397451536,6,-2.01186954040739,0.836476836089748,75.5
5630b79b733ea00011164946,57.7502716666667,60.0,26,0,,0,,4,1,,3.0,,0,1250,971,-279,-0.414222516258794,7,0.473381068331151,0.836476836089748,78.0
5630b79b733ea00011164946,57.7502716666667,60.0,27,0,,0,,1,2,,4.0,,0,1250,931,-319,-0.593576595463632,7,0.473381068331151,0.836476836089748,82.0
5630b79b733ea00011164946,57.7502716666667,60.0,29,0,,0,,5,2,,2.0,,0,250,291,41,1.02061011737991,7,0.473381068331151,0.836476836089748,88.5
5630b79b733ea00011164946,57.7502716666667,60.0,4,0,,0,,4,1,,3.0,,0,1250,1031,-219,-0.145191397451536,7,0.473381068331151,0.836476836089748,9.5
5630b79b733ea00011164946,57.7502716666667,60.0,5,0,,0,,3,2,,3.0,,0,750,441,-309,-0.548738075662422,6,-2.01186954040739,0.836476836089748,13.5
5630b79b733ea00011164946,57.7502716666667,60.0,20,0,,0,,3,1,,4.0,,0,1250,991,-259,-0.324545476656374,7,0.473381068331151,0.836476836089748,58.5
5630b79b733ea00011164946,57.7502716666667,61.0,3,0,,0,,2,1,,1.0,,0,1250,1161,-89,0.437709359964189,6,-2.01186954040739,0.836476836089748,7.0
5630b79b733ea00011164946,57.7502716666667,60.0,49,1,0.0,1,0.0,6,2,4.0,,,0,1250,1331,81,0.69061771474048,6,1.17395419285897,0.859846752333906,148.0
5630b79b733ea00011164946,57.7502716666667,60.0,50,1,0.0,1,0.0,5,1,3.0,,,0,1250,1191,-59,0.0266762207410486,4,-0.349013408687803,0.859846752333906,150.5
5630b79b733ea00011164946,57.7502716666667,60.0,52,1,0.0,1,0.0,3,1,2.0,,,0,750,551,-199,-0.637265273258383,4,-0.349013408687803,0.859846752333906,157.0
5630b79b733ea00011164946,57.7502716666667,60.0,53,1,0.0,1,0.0,6,1,2.0,,,0,250,561,311,1.78137874059669,4,-0.349013408687803,0.859846752333906,159.5
5630b79b733ea00011164946,57.7502716666667,60.0,0,1,0.0,1,0.0,5,1,3.0,,,0,1250,861,-389,-1.53832872940047,5,0.412470392085585,0.859846752333906,318.0
5630b79b733ea00011164946,57.7502716666667,60.0,54,1,1.0,1,0.0,1,1,3.0,4.0,0.0,0,750,481,-269,-0.969236020258099,3,-1.11049720946119,0.859846752333906,162.0
5630b79b733ea00011164946,57.7502716666667,60.0,56,1,1.0,1,0.0,6,2,4.0,2.0,0.0,0,1250,1301,51,0.548344537454888,3,-1.11049720946119,0.859846752333906,170.0
5630b79b733ea00011164946,57.7502716666667,60.0,57,1,1.0,2,1.0,1,2,4.0,4.0,2.0,0,250,321,71,0.643193322311949,7,1.93543799363236,0.859846752333906,174.0
5630b79b733ea00011164946,57.7502716666667,60.0,58,1,1.0,3,1.0,3,1,2.0,1.0,0.0,0,750,971,221,1.35455920873991,4,-0.349013408687803,0.859846752333906,176.5
5630b79b733ea00011164946,57.7502716666667,60.0,59,1,1.0,1,0.0,1,2,1.0,2.0,0.0,0,750,561,-189,-0.589840880829852,3,-1.11049720946119,0.859846752333906,180.5
5630b79b733ea00011164946,57.7502716666667,60.0,60,1,1.0,2,1.0,5,2,1.0,2.0,1.0,0,750,611,-139,-0.352718918687198,3,-1.11049720946119,0.859846752333906,184.5
5630b79b733ea00011164946,57.7502716666667,60.0,61,1,1.0,2,1.0,1,1,2.0,2.0,2.0,0,1250,1091,-159,-0.44756770354426,4,-0.349013408687803,0.859846752333906,187.0
5630b79b733ea00011164946,57.7502716666667,60.0,62,1,1.0,3,1.0,4,2,2.0,4.0,1.0,0,750,651,-99,-0.163021348973075,4,-0.349013408687803,0.859846752333906,191.0
5630b79b733ea00011164946,57.7502716666667,60.0,63,1,1.0,4,1.0,4,1,3.0,2.0,0.0,0,750,581,-169,-0.494992095972791,3,-1.11049720946119,0.859846752333906,193.5
5630b79b733ea00011164946,57.7502716666667,60.0,51,1,0.0,1,0.0,5,2,1.0,,,0,250,241,-9,0.263798182883703,4,-0.349013408687803,0.859846752333906,154.5
5630b79b733ea00011164946,57.7502716666667,60.0,37,1,0.0,2,1.0,2,1,4.0,,,0,250,241,-9,0.263798182883703,6,1.17395419285897,0.859846752333906,112.0
5630b79b733ea00011164946,57.7502716666667,60.0,38,1,0.0,2,1.0,2,2,2.0,,,0,1250,1111,-139,-0.352718918687198,6,1.17395419285897,0.859846752333906,116.0
5630b79b733ea00011164946,57.7502716666667,60.0,39,1,0.0,1,0.0,6,2,4.0,,,0,1250,761,-489,-2.01257265368578,6,1.17395419285897,0.859846752333906,120.0
5630b79b733ea00011164946,57.7502716666667,60.0,41,1,0.0,3,1.0,4,1,3.0,,,0,1250,1011,-239,-0.826962842972506,4,-0.349013408687803,0.859846752333906,120.5
5630b79b733ea00011164946,57.7502716666667,60.0,42,1,0.0,1,0.0,2,2,2.0,,,0,750,1021,271,1.59168117088257,5,0.412470392085585,0.859846752333906,124.5
5630b79b733ea00011164946,57.7502716666667,60.0,43,1,0.0,3,1.0,4,1,3.0,,,0,1250,1271,21,0.406071360169295,4,-0.349013408687803,0.859846752333906,127.0
5630b79b733ea00011164946,57.7502716666667,60.0,44,1,0.0,3,1.0,4,1,1.0,,,0,250,331,81,0.69061771474048,4,-0.349013408687803,0.859846752333906,129.5
5630b79b733ea00011164946,57.7502716666667,60.0,45,1,0.0,2,1.0,1,2,4.0,,,0,250,281,31,0.453495752597826,4,-0.349013408687803,0.859846752333906,133.5
5630b79b733ea00011164946,57.7502716666667,60.0,46,1,0.0,3,1.0,3,2,1.0,,,0,250,251,1,0.311222575312234,6,1.17395419285897,0.859846752333906,137.5
5630b79b733ea00011164946,57.7502716666667,60.0,47,1,0.0,2,1.0,5,2,2.0,,,0,750,651,-99,-0.163021348973075,4,-0.349013408687803,0.859846752333906,141.5
5630b79b733ea00011164946,57.7502716666667,60.0,48,1,0.0,2,1.0,6,1,1.0,,,0,750,921,171,1.11743724659726,4,-0.349013408687803,0.859846752333906,144.0
5630b79b733ea00011164946,57.7502716666667,60.0,1,1,0.0,2,1.0,1,2,4.0,,,0,250,221,-29,0.168949398026641,7,1.93543799363236,0.859846752333906,4.0
5630b79b733ea00011164946,57.7502716666667,60.0,2,1,0.0,4,1.0,3,2,3.0,,,0,1250,961,-289,-1.06408480511516,6,1.17395419285897,0.859846752333906,8.0
5630b79b733ea00011164946,57.7502716666667,60.0,3,1,0.0,3,1.0,3,1,4.0,,,0,750,581,-169,-0.494992095972791,4,-0.349013408687803,0.859846752333906,10.5
5630b79b733ea00011164946,57.7502716666667,60.0,4,1,0.0,4,1.0,2,1,1.0,,,0,750,771,21,0.406071360169295,4,-0.349013408687803,0.859846752333906,13.0
5630b79b733ea00011164946,57.7502716666667,60.0,5,1,0.0,2,1.0,1,1,2.0,,,0,1250,1071,-179,-0.542416488401321,4,-0.349013408687803,0.859846752333906,15.5
5630b79b733ea00011164946,57.7502716666667,60.0,7,1,0.0,2,1.0,6,1,1.0,,,0,750,571,-179,-0.542416488401321,3,-1.11049720946119,0.859846752333906,16.0
5630b79b733ea00011164946,57.7502716666667,60.0,8,1,0.0,4,1.0,2,1,1.0,,,0,750,631,-119,-0.257870133830136,4,-0.349013408687803,0.859846752333906,18.5
5630b79b733ea00011164946,57.7502716666667,60.0,9,1,0.0,4,1.0,1,2,4.0,,,0,750,731,-19,0.216373790455172,4,-0.349013408687803,0.859846752333906,22.5
5630b79b733ea00011164946,57.7502716666667,60.0,10,1,0.0,4,1.0,3,2,1.0,,,0,250,381,131,0.927739676883134,4,-0.349013408687803,0.859846752333906,26.5
5630b79b733ea00011164946,57.7502716666667,60.0,11,1,0.0,1,0.0,5,2,1.0,,,0,250,361,111,0.832890892026073,4,-0.349013408687803,0.859846752333906,30.5
5630b79b733ea00011164946,57.7502716666667,60.0,13,1,0.0,4,1.0,5,1,4.0,,,0,1250,1081,-169,-0.494992095972791,4,-0.349013408687803,0.859846752333906,37.0
5630b79b733ea00011164946,57.7502716666667,60.0,15,1,0.0,4,1.0,3,2,1.0,,,0,250,251,1,0.311222575312234,3,-1.11049720946119,0.859846752333906,39.0
5630b79b733ea00011164946,57.7502716666667,60.0,16,1,0.0,3,1.0,3,2,3.0,,,0,1250,641,-609,-2.58166536282815,4,-0.349013408687803,0.859846752333906,43.0
5630b79b733ea00011164946,57.7502716666667,60.0,17,1,0.0,3,1.0,4,1,1.0,,,0,250,231,-19,0.216373790455172,4,-0.349013408687803,0.859846752333906,45.5
5630b79b733ea00011164946,57.7502716666667,60.0,18,1,0.0,3,1.0,4,2,2.0,,,0,750,661,-89,-0.115596956544544,4,-0.349013408687803,0.859846752333906,49.5
5630b79b733ea00011164946,57.7502716666667,60.0,20,1,0.0,1,0.0,3,1,2.0,,,0,750,801,51,0.548344537454888,3,-1.11049720946119,0.859846752333906,56.0
5630b79b733ea00011164946,57.7502716666667,60.0,21,1,0.0,3,1.0,3,2,3.0,,,0,1250,1261,11,0.358646967740764,6,1.17395419285897,0.859846752333906,60.0
5630b79b733ea00011164946,57.7502716666667,60.0,22,1,0.0,4,1.0,5,1,4.0,,,0,1250,1391,141,0.975164069311665,7,1.93543799363236,0.859846752333906,62.5
5630b79b733ea00011164946,57.7502716666667,60.0,24,1,0.0,4,1.0,6,1,1.0,,,0,250,381,131,0.927739676883134,7,1.93543799363236,0.859846752333906,69.0
5630b79b733ea00011164946,57.7502716666667,60.0,25,1,0.0,2,1.0,2,1,4.0,,,0,250,391,141,0.975164069311665,7,1.93543799363236,0.859846752333906,71.5
5630b79b733ea00011164946,57.7502716666667,60.0,26,1,0.0,1,0.0,6,1,2.0,,,0,250,301,51,0.548344537454888,4,-0.349013408687803,0.859846752333906,74.0
5630b79b733ea00011164946,57.7502716666667,60.0,27,1,0.0,4,1.0,1,2,4.0,,,0,750,741,-9,0.263798182883703,5,0.412470392085585,0.859846752333906,78.0
5630b79b733ea00011164946,57.7502716666667,60.0,28,1,0.0,2,1.0,1,1,2.0,,,0,1250,1071,-179,-0.542416488401321,6,1.17395419285897,0.859846752333906,80.5
5630b79b733ea00011164946,57.7502716666667,60.0,29,1,0.0,3,1.0,4,2,2.0,,,0,750,881,131,0.927739676883134,4,-0.349013408687803,0.859846752333906,84.5
5630b79b733ea00011164946,57.7502716666667,60.0,30,1,0.0,1,0.0,2,2,2.0,,,0,750,881,131,0.927739676883134,4,-0.349013408687803,0.859846752333906,88.5
5630b79b733ea00011164946,57.7502716666667,60.0,31,1,0.0,2,1.0,2,2,2.0,,,0,1250,1351,101,0.785466499597542,4,-0.349013408687803,0.859846752333906,92.5
5630b79b733ea00011164946,57.7502716666667,60.0,32,1,0.0,3,1.0,3,1,4.0,,,0,750,581,-169,-0.494992095972791,5,0.412470392085585,0.859846752333906,95.0
5630b79b733ea00011164946,57.7502716666667,60.0,33,1,0.0,4,1.0,3,2,3.0,,,0,1250,1251,1,0.311222575312234,7,1.93543799363236,0.859846752333906,99.0
5630b79b733ea00011164946,57.7502716666667,60.0,34,1,0.0,2,1.0,5,2,2.0,,,0,750,801,51,0.548344537454888,6,1.17395419285897,0.859846752333906,103.0
5630b79b733ea00011164946,57.7502716666667,60.0,35,1,0.0,4,1.0,6,1,1.0,,,0,250,151,-99,-0.163021348973075,6,1.17395419285897,0.859846752333906,105.5
5630b79b733ea00011164946,57.7502716666667,60.0,36,1,0.0,3,1.0,3,2,1.0,,,0,250,111,-139,-0.352718918687198,5,0.412470392085585,0.859846752333906,109.5
5630b79b733ea00011164946,57.7502716666667,60.0,80,1,1.0,2,1.0,5,1,3.0,4.0,1.0,0,750,651,-99,-0.163021348973075,3,-1.11049720946119,0.859846752333906,242.0
5630b79b733ea00011164946,57.7502716666667,60.0,81,1,1.0,2,1.0,1,2,4.0,4.0,2.0,0,250,511,261,1.54425677845404,6,1.17395419285897,0.859846752333906,246.0
5630b79b733ea00011164946,57.7502716666667,60.0,82,1,1.0,4,1.0,4,1,3.0,4.0,0.0,0,750,691,-59,0.0266762207410486,4,-0.349013408687803,0.859846752333906,248.5
5630b79b733ea00011164946,57.7502716666667,60.0,83,1,1.0,4,1.0,1,2,4.0,4.0,2.0,0,1250,1041,-209,-0.684689665686914,6,1.17395419285897,0.859846752333906,252.5
5630b79b733ea00011164946,57.7502716666667,60.0,84,1,1.0,1,0.0,6,2,4.0,4.0,2.0,0,1250,851,-399,-1.585753121829,6,1.17395419285897,0.859846752333906,256.5
